population,position,irradiance,in_out,type,notes,,
3,1,119,out,,ceiling growth,,
3,2,118,out,,,,
3,3,117,out,,,,
3,4,115,out,,,,
3,1,119,out,,,,
3,2,119,out,,,,
3,3,117,out,,,,
3,4,115,out,,,,
4,1,118,out,,,,
4,2,121,out,,,,
4,3,116,out,,,,
4,4,115,out,,,,
4,1,117,out,,,,
4,2,122,out,,,,
4,3,116,out,,,,
4,4,115,out,,,,
5,1,122,out,,ceiling growth,,
5,2,122,out,,,,
5,3,120,out,,,,
5,4,117,out,,,,
5,1,123,out,,,,
5,2,123,out,,,,
5,3,121,out,,,,
5,4,118,out,,,,
6,1,118,out,,,,
6,2,121,out,,,,
6,3,118,out,,,,
6,4,115,out,,,,
6,1,119,out,,,,
6,2,121,out,,,,
6,3,119,out,,,,
6,4,116,out,,,,
7,1,120,out,,,,
7,2,118,out,,,,
7,3,117,out,,,,
7,4,114,out,,,,
7,1,119,out,,,,
7,2,118,out,,,,
7,3,117,out,,,,
7,4,114,out,,,,
8,1,121,out,,,,
8,2,120,out,,,,
8,3,120,out,,,,
8,4,117,out,,,,
8,1,121,out,,,,
8,2,120,out,,,,
8,3,119,out,,,,
8,4,117,out,,,,
9,1,122,out,,water at the top,,
9,2,122,out,,,,
9,3,119,out,,,,
9,4,116,out,,,,
9,1,120,out,,,,
9,2,122,out,,,,
9,3,119,out,,,,
9,4,117,out,,,,
10,1,118,out,,ceiling growth,,
10,2,118,out,,,,
10,3,118,out,,,,
10,4,116,out,,,,
10,1,118,out,,,,
10,2,118,out,,,,
10,3,119,out,,,,
10,4,116,out,,,,
11,1,118,out,,,,
11,2,120,out,,,,
11,3,118,out,,,,
11,4,117,out,,,,
11,1,119,out,,,,
11,2,121,out,,,,
11,3,118,out,,,,
11,4,118,out,,,,
14,1,115,out,,ceiling growth,,
14,2,118,out,,,,
14,3,116,out,,,,
14,4,115,out,,,,
14,1,116,out,,,,
14,2,117,out,,,,
14,3,114,out,,,,
14,4,115,out,,,,
15,1,120,out,,,,
15,2,118,out,,,,
15,3,114,out,,,,
15,4,113,out,,,,
15,1,120,out,,,,
15,2,118,out,,,,
15,3,116,out,,,,
15,4,113,out,,,,
16,1,121,out,,,,
16,2,122,out,,,,
16,3,121,out,,,,
16,4,118,out,,,,
16,1,121,out,,,,
16,2,128,out,,,,
16,3,117,out,,,,
16,4,116,out,,,,
17,1,122,out,,,,
17,2,119,out,,,,
17,3,118,out,,,,
17,4,114,out,,,,
17,1,122,out,,,,
17,2,119,out,,,,
17,3,118,out,,,,
17,4,114,out,,,,
18,1,122,out,,,,
18,2,120,out,,,,
18,3,118,out,,,,
18,4,114,out,,,,
18,1,122,out,,,,
18,2,124,out,,,,
18,3,117,out,,,,
18,4,114,out,,,,
19,1,123,out,,,,
19,2,122,out,,,,
19,3,120,out,,,,
19,4,118,out,,,,
19,1,122,out,,,,
19,2,123,out,,,,
19,3,120,out,,,,
19,4,118,out,,,,
20,1,122,out,,line of water making high readings in the middle of the vessel,,
20,2,123,out,,,,
20,3,119,out,,,,
20,4,116,out,,,,
20,1,122,out,,,,
20,2,124,out,,,,
20,3,118,out,,,,
20,4,116,out,,,,
21,1,118,out,,,,
21,2,116,out,,,,
21,3,116,out,,,,
21,4,112,out,,,,
21,1,117,out,,,,
21,2,117,out,,,,
21,3,116,out,,,,
21,4,112,out,,,,
22,1,119,out,,,,
22,2,121,out,,,,
22,3,118,out,,,,
22,4,117,out,,,,
22,1,118,out,,,,
22,2,119,out,,,,
22,3,122,out,,,,
22,4,116,out,,,,
23,1,117,out,,ceiling growth (in position 3 ?),,
23,2,116,out,,,,
23,3,117,out,,,,
23,4,113,out,,,,
23,1,116,out,,,,
23,2,117,out,,,,
23,3,117,out,,,,
23,4,113,out,,,,
24,1,120,out,,,,
24,2,122,out,,,,
24,3,116,out,,,,
24,4,116,out,,,,
24,1,119,out,,,,
24,2,122,out,,,,
24,3,116,out,,,,
24,4,117,out,,,,
25,1,122,out,,,,
25,2,118,out,,,,
25,3,117,out,,,,
25,4,116,out,,,,
25,1,122,out,,,,
25,2,120,out,,,,
25,3,117,out,,,,
25,4,116,out,,,,
26,1,123,out,,,,
26,2,120,out,,,,
26,3,119,out,,,,
26,4,116,out,,,,
26,1,122,out,,,,
26,2,118,out,,,,
26,3,120,out,,,,
26,4,116,out,,,,
27,1,119,out,,,,
27,2,119,out,,,,
27,3,120,out,,,,
27,4,116,out,,,,
27,1,119,out,,,,
27,2,121,out,,,,
27,3,120,out,,,,
27,4,116,out,,,,
27,1,115,out,,,,
27,2,118,out,,,,
27,3,118,out,,,,
27,4,119,out,,,,
27,5,120,out,,,,
27,6,119,out,,,,
27,7,117,out,,,,
27,8,119,out,,,,
27,9,116,out,,,,
27,10,116,out,,,,
28,1,119,out,,,,
28,2,122,out,,scratches on bottle,,
28,3,118,out,,,,
28,4,117,out,,,,
28,1,118,out,,,,
28,2,122,out,,,,
28,3,120,out,,,,
28,4,118,out,,,,
29,1,121,out,,,,
29,2,119,out,,,,
29,3,118,out,,,,
29,4,115,out,,,,
29,1,121,out,,,,
29,2,121,out,,,,
29,3,119,out,,,,
29,4,116,out,,,,
30,1,120,out,,,,
30,2,120,out,,,,
30,3,118,out,,,,
30,4,117,out,,,,
30,1,120,out,,,,
30,2,120,out,,,,
30,3,118,out,,,,
30,4,117,out,,,,
31,1,122,out,,,,
31,2,119,out,,,,
31,3,120,out,,,,
31,4,113,out,,,,
31,1,121,out,,,,
31,2,119,out,,,,
31,3,120,out,,,,
31,4,114,out,,,,
32,1,121,out,,,,
32,2,119,out,,,,
32,3,118,out,,,,
32,4,113,out,,,,
32,1,120,out,,,,
32,2,120,out,,,,
32,3,117,out,,,,
32,4,112,out,,,,
33,1,122,out,,,,
33,2,120,out,,,,
33,3,118,out,,,,
33,4,115,out,,,,
33,1,122,out,,,,
33,2,119,out,,,,
33,3,118,out,,,,
33,4,115,out,,,,
35,1,116,out,,,,
35,2,117,out,,,,
35,3,115,out,,,,
35,4,113,out,,,,
35,1,117,out,,,,
35,2,117,out,,,,
35,3,115,out,,,,
35,4,112,out,,,,
AC2,1,118,out,,,,
AC2,2,121,out,,,,
AC2,3,117,out,,,,
AC2,4,113,out,,,,
AC2,1,117,out,,,,
AC2,2,121,out,,,,
AC2,3,115,out,,,,
AC2,4,114,out,,,,
AC3,1,119,out,,,,
AC3,2,120,out,,,,
AC3,3,119,out,,,,
AC3,4,115,out,,,,
AC3,1,119,out,,,,
AC3,2,120,out,,,,
AC3,3,117,out,,,,
AC3,4,117,out,,,,
AC4,1,119,out,,,,
AC4,2,122,out,,,,
AC4,3,122,out,,,,
AC4,4,116,out,,,,
AC4,1,118,out,,,,
AC4,2,122,out,,,,
AC4,3,121,out,,,,
AC4,4,115,out,,,,
AC5,1,115,out,,,,
AC5,2,118,out,,,,
AC5,3,116,out,,,,
AC5,4,113,out,,,,
AC5,1,114,out,,,,
AC5,2,117,out,,,,
AC5,3,115,out,,,,
AC5,4,114,out,,,,
cc1690,1,118,out,,,,
cc1690,2,122,out,,,,
cc1690,3,123,out,,,,
cc1690,4,118,out,,,,
cc1690,1,120,out,,,,
cc1690,2,122,out,,,,
cc1690,3,123,out,,,,
cc1690,4,118,out,,,,
