plate_key,population,acclimation_level,well,n_level,plate,multitron,slot
1,8,LL,E10,N3,7,5,8
1,8,LL,E10,N4,10,5,18
1,8,LL,E10,N5,13,6,9
1,8,HL,E10,N6,16,5,3
1,8,HL,E10,N7,19,4,8
1,8,HL,E10,N8,22,6,17
1,8,HL,E10,N9,25,4,15
1,8,HL,E10,N10,28,6,3
1,24,LL,E11,N1,1,5,15
1,24,LL,E11,N2,4,5,19
1,24,LL,E11,N3,7,5,8
1,24,LL,E11,N4,10,5,18
1,24,LL,E11,N5,13,6,9
1,24,HL,E11,N6,16,5,3
1,24,HL,E11,N7,19,4,8
1,24,HL,E11,N8,22,6,17
1,24,HL,E11,N9,25,4,15
1,24,HL,E11,N10,28,6,3
1,25,LL,F02,N1,1,5,15
1,25,LL,F02,N2,4,5,19
1,25,LL,F02,N3,7,5,8
1,25,LL,F02,N4,10,5,18
1,25,LL,F02,N5,13,6,9
1,25,HL,F02,N6,16,5,3
1,25,HL,F02,N7,19,4,8
1,25,HL,F02,N8,22,6,17
1,25,HL,F02,N9,25,4,15
1,25,HL,F02,N10,28,6,3
1,19,LL,F03,N1,1,5,15
1,19,LL,F03,N2,4,5,19
1,19,LL,F03,N3,7,5,8
1,19,LL,F03,N4,10,5,18
1,19,LL,F03,N5,13,6,9
1,19,HL,F03,N6,16,5,3
1,19,HL,F03,N7,19,4,8
1,19,HL,F03,N8,22,6,17
1,19,HL,F03,N9,25,4,15
1,19,HL,F03,N10,28,6,3
1,6,LL,F04,N1,1,5,15
1,6,LL,F04,N2,4,5,19
1,6,LL,F04,N3,7,5,8
1,6,LL,F04,N4,10,5,18
1,6,LL,F04,N5,13,6,9
1,6,HL,F04,N6,16,5,3
1,6,HL,F04,N7,19,4,8
1,6,HL,F04,N8,22,6,17
1,6,HL,F04,N9,25,4,15
1,6,HL,F04,N10,28,6,3
1,anc5,LL,F05,N1,1,5,15
1,anc5,LL,F05,N2,4,5,19
1,anc5,LL,F05,N3,7,5,8
1,anc5,LL,F05,N4,10,5,18
1,anc5,LL,F05,N5,13,6,9
1,anc5,HL,F05,N6,16,5,3
1,anc5,HL,F05,N7,19,4,8
1,anc5,HL,F05,N8,22,6,17
1,anc5,HL,F05,N9,25,4,15
1,anc5,HL,F05,N10,28,6,3
1,8,LL,F06,N1,1,5,15
1,8,LL,F06,N2,4,5,19
1,8,LL,F06,N3,7,5,8
1,8,LL,F06,N4,10,5,18
1,8,LL,F06,N5,13,6,9
1,8,HL,F06,N6,16,5,3
1,8,HL,F06,N7,19,4,8
1,8,HL,F06,N8,22,6,17
1,8,HL,F06,N9,25,4,15
1,8,HL,F06,N10,28,6,3
1,32,LL,F07,N1,1,5,15
1,32,LL,F07,N2,4,5,19
1,32,LL,F07,N3,7,5,8
1,32,LL,F07,N4,10,5,18
