well_plate,nitrate_concentration,population,cells_per_ml,file_name,path,well,plate,date_time,cell_size,plate_key,acclimation_level,n,nitrate_level,multitron,slot,start_time,days
E02_14,60,26,272981.62774165353,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate14_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,14,2019-06-06T09:37:18Z,70.7,2,LP,P,5,6,2,2019-06-06T08:50:35Z,0.032442129629629626
F02_14,60,28,261016.0721933446,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate14_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,14,2019-06-06T09:37:18Z,55.5,2,LP,P,5,6,2,2019-06-06T08:50:35Z,0.032442129629629626
G02_14,60,27,88489.45731075008,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate14_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,G02,14,2019-06-06T09:37:18Z,52.1,2,LP,P,5,6,2,2019-06-06T08:50:35Z,0.032442129629629626
B02_15,60,15,184492.17043090347,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate15_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,15,2019-06-06T10:00:16Z,59.8,3,LP,P,5,6,15,2019-06-06T08:50:35Z,0.04839120370370371
C02_15,60,10,239311.11096617946,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate15_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,15,2019-06-06T10:00:16Z,60.4,3,LP,P,5,6,15,2019-06-06T08:50:35Z,0.04839120370370371
D02_15,60,29,189501.00763717236,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate15_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,15,2019-06-06T10:00:16Z,55.3,3,LP,P,5,6,15,2019-06-06T08:50:35Z,0.04839120370370371
E02_15,60,anc4,216771.34353796954,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate15_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,15,2019-06-06T10:00:16Z,64.8,3,LP,P,5,6,15,2019-06-06T08:50:35Z,0.04839120370370371
F02_15,60,15,264911.83446488704,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate15_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,15,2019-06-06T10:00:16Z,64.2,3,LP,P,5,6,15,2019-06-06T08:50:35Z,0.04839120370370371
B02_16,80,25,379836.82147538953,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate16_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,16,2019-06-05T11:29:00Z,63.5,1,HP,P,6,5,3,2019-06-04T16:52:36Z,0.7752777777777777
C02_16,80,6,211484.23759801907,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate16_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,16,2019-06-05T11:29:00Z,63.5,1,HP,P,6,5,3,2019-06-04T16:52:36Z,0.7752777777777777
D02_16,80,24,159447.98439955912,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate16_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,16,2019-06-05T11:29:00Z,62.8,1,HP,P,6,5,3,2019-06-04T16:52:36Z,0.7752777777777777
E02_16,80,1,374271.44680175744,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate16_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,16,2019-06-05T11:29:00Z,64.1,1,HP,P,6,5,3,2019-06-04T16:52:36Z,0.7752777777777777
F02_16,80,25,330861.5243474272,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate16_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,16,2019-06-05T11:29:00Z,92.8,1,HP,P,6,5,3,2019-06-04T16:52:36Z,0.7752777777777777
G02_16,80,11,199240.41331602848,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate16_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,G02,16,2019-06-05T11:29:00Z,65.2,1,HP,P,6,5,3,2019-06-04T16:52:36Z,0.7752777777777777
B02_17,80,28,177813.72082254497,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate17_test_190604_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,17,2019-06-04T16:52:36Z,66.9,2,HP,P,6,4,4,2019-06-04T16:52:36Z,0
C02_17,80,21,244598.21690612994,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate17_test_190604_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,17,2019-06-04T16:52:36Z,56.2,2,HP,P,6,4,4,2019-06-04T16:52:36Z,0
D02_17,80,18,191727.15750662517,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate17_test_190604_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,17,2019-06-04T16:52:36Z,75.7,2,HP,P,6,4,4,2019-06-04T16:52:36Z,0
