well_plate,phosphate_concentration,population,cell_count,file_name,path,well,plate,date_time,RFU,plate_key,acclimation_level,p,phosphate_level,multitron,slot,population_new_color,start_time,days,size,ancestor_id,treatment,note,cells_per_ml
F02_10,4,25,732,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate10_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,10,2019-05-24T11:10:42Z,51.799999999999997,1,LP,P,4,5,18,no,2019-05-24T11:10:42Z,0,51.8,anc2,BS,NA,203692.71305493414
G02_10,4,11,521,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate10_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,G02,10,2019-05-24T11:10:42Z,90.099999999999994,1,LP,P,4,5,18,no,2019-05-24T11:10:42Z,0,90.1,anc4,N,NA,144978.0102481157
B02_11,4,28,820,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate11_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,11,2019-05-27T09:29:55Z,41.5,2,LP,P,4,4,9,no,2019-05-24T11:10:42Z,2.930011574074074,41.5,anc5,P,NA,228180.3616189153
C02_11,4,21,1433,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate11_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,11,2019-05-27T09:29:55Z,52.399999999999999,2,LP,P,4,4,9,no,2019-05-24T11:10:42Z,2.930011574074074,52.4,anc4,B,NA,398759.09536573855
D02_11,4,18,1016,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate11_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,11,2019-05-27T09:29:55Z,67.200000000000003,2,LP,P,4,4,9,no,2019-05-24T11:10:42Z,2.930011574074074,67.2,anc5,S,NA,282721.0334205097
E02_11,4,26,1039,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate11_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,11,2019-05-27T09:29:55Z,72.700000000000003,2,LP,P,4,4,9,no,2019-05-24T11:10:42Z,2.930011574074074,72.7,anc3,L,NA,289121.21429518657
F02_11,4,28,769,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate11_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,11,2019-05-27T09:29:55Z,49.700000000000003,2,LP,P,4,4,9,no,2019-05-24T11:10:42Z,2.930011574074074,49.7,anc5,P,NA,213988.6562011535
G02_11,4,27,666,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate11_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,G02,11,2019-05-27T09:29:55Z,67.5,2,LP,P,4,4,9,no,2019-05-24T11:10:42Z,2.930011574074074,67.5,anc3,N,NA,185326.9766319483
B02_12,4,15,544,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate12_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,12,2019-05-27T15:24:06Z,66.599999999999994,3,LP,P,4,4,1,no,2019-05-24T11:10:42Z,3.175972222222222,66.6,anc4,S,NA,151378.1911227926
C02_12,4,10,779,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate12_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,12,2019-05-27T15:24:06Z,61.600000000000001,3,LP,P,4,4,1,no,2019-05-24T11:10:42Z,3.175972222222222,61.6,anc2,L,NA,216771.34353796954
D02_12,4,29,1200,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate12_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,12,2019-05-27T15:24:06Z,52.5,3,LP,P,4,4,1,no,2019-05-24T11:10:42Z,3.175972222222222,52.5,anc3,P,NA,333922.4804179248
E02_12,4,anc4,1110,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate12_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,12,2019-05-27T15:24:06Z,63.700000000000003,3,LP,P,4,4,1,no,2019-05-24T11:10:42Z,3.175972222222222,63.7,anc4,none,NA,308878.29438658047
F02_12,4,15,587,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate12_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,12,2019-05-27T15:24:06Z,67.400000000000006,3,LP,P,4,4,1,no,2019-05-24T11:10:42Z,3.175972222222222,67.4,anc4,S,NA,163343.74667110157
B02_13,6,25,1367,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate13_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,13,2019-05-24T11:34:31Z,48.5,1,LP,P,5,6,9,no,2019-05-24T11:34:31Z,0,48.5,anc2,BS,NA,380393.3589427527
C02_13,6,6,823,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate13_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,13,2019-05-24T11:34:31Z,46,1,LP,P,5,6,9,no,2019-05-24T11:34:31Z,0,46,cc1690,P,NA,229015.16781996013
D02_13,6,24,972,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate13_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,13,2019-05-24T11:34:31Z,42.899999999999999,1,LP,P,5,6,9,no,2019-05-24T11:34:31Z,0,42.9,anc4,C,NA,270477.20913851913
E02_13,6,1,1269,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate13_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,13,2019-05-24T11:34:31Z,54,1,LP,P,5,6,9,no,2019-05-24T11:34:31Z,0,54,anc2,N,NA,353123.02304195554
F02_13,6,25,1419,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate13_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,13,2019-05-24T11:34:31Z,47.799999999999997,1,LP,P,5,6,9,no,2019-05-24T11:34:31Z,0,47.8,anc2,BS,NA,394863.3330941961
G02_13,6,11,883,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate13_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,G02,13,2019-05-24T11:34:31Z,51.899999999999999,1,LP,P,5,6,9,no,2019-05-24T11:34:31Z,0,51.9,anc4,N,NA,245711.29184085637
B02_14,6,28,1018,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate14_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,14,2019-05-27T13:45:09Z,62.799999999999997,2,LP,P,5,6,2,no,2019-05-24T11:34:31Z,3.0907175925925925,62.8,anc5,P,NA,283277.5708878729
C02_14,6,21,1618,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate14_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,14,2019-05-27T13:45:09Z,52.5,2,LP,P,5,6,2,no,2019-05-24T11:34:31Z,3.0907175925925925,52.5,anc4,B,NA,450238.8110968353
D02_14,6,18,947,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate14_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,14,2019-05-27T13:45:09Z,62.899999999999999,2,LP,P,5,6,2,no,2019-05-24T11:34:31Z,3.0907175925925925,62.9,anc5,S,NA,263520.49079647905
E02_14,6,26,1159,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate14_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,14,2019-05-27T13:45:09Z,64.5,2,LP,P,5,6,2,no,2019-05-24T11:34:31Z,3.0907175925925925,64.5,anc3,L,NA,322513.46233697905
F02_14,6,28,808,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate14_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,14,2019-05-27T13:45:09Z,51.399999999999999,2,LP,P,5,6,2,no,2019-05-24T11:34:31Z,3.0907175925925925,51.4,anc5,P,NA,224841.13681473606
G02_14,6,27,761,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate14_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,G02,14,2019-05-27T13:45:09Z,58.600000000000001,2,LP,P,5,6,2,no,2019-05-24T11:34:31Z,3.0907175925925925,58.6,anc3,N,NA,211762.50633170066
B02_15,6,15,1088,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate15_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,15,2019-05-27T14:54:57Z,52.100000000000001,3,LP,P,5,6,15,no,2019-05-24T11:34:31Z,3.1391898148148147,52.1,anc4,S,NA,302756.3822455852
C02_15,6,10,1107,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate15_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,15,2019-05-27T14:54:57Z,48.5,3,LP,P,5,6,15,no,2019-05-24T11:34:31Z,3.1391898148148147,48.5,anc2,L,NA,308043.48818553565
D02_15,6,29,708,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate15_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,15,2019-05-27T14:54:57Z,48.5,3,LP,P,5,6,15,no,2019-05-24T11:34:31Z,3.1391898148148147,48.5,anc3,P,NA,197014.26344657564
E02_15,6,anc4,1115,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate15_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,15,2019-05-27T14:54:57Z,51.5,3,LP,P,5,6,15,no,2019-05-24T11:34:31Z,3.1391898148148147,51.5,anc4,none,NA,310269.6380549885
F02_15,6,15,1247,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate15_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,15,2019-05-27T14:54:57Z,53.600000000000001,3,LP,P,5,6,15,no,2019-05-24T11:34:31Z,3.1391898148148147,53.6,anc4,S,NA,347001.1109009602
B02_16,8,25,1287,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate16_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,16,2019-05-28T10:41:51Z,47.299999999999997,1,HP,P,6,5,3,no,2019-05-27T16:59:17Z,0.7378935185185185,47.3,anc2,BS,NA,358131.8602482244
C02_16,8,6,922,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate16_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,16,2019-05-28T10:41:51Z,46.399999999999999,1,HP,P,6,5,3,no,2019-05-27T16:59:17Z,0.7378935185185185,46.4,cc1690,P,NA,256563.7724544389
D02_16,8,24,504,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate16_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,16,2019-05-28T10:41:51Z,55.700000000000003,1,HP,P,6,5,3,no,2019-05-27T16:59:17Z,0.7378935185185185,55.7,anc4,C,NA,140247.44177552842
E02_16,8,1,736,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate16_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,16,2019-05-28T10:41:51Z,55,1,HP,P,6,5,3,no,2019-05-27T16:59:17Z,0.7378935185185185,55,anc2,N,NA,204805.78798966057
F02_16,8,25,2408,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate16_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,16,2019-05-28T10:41:51Z,50.899999999999999,1,HP,P,6,5,3,no,2019-05-27T16:59:17Z,0.7378935185185185,50.9,anc2,BS,NA,670071.1107053026
G02_16,8,11,1566,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate16_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,G02,16,2019-05-28T10:41:51Z,53.399999999999999,1,HP,P,6,5,3,no,2019-05-27T16:59:17Z,0.7378935185185185,53.4,anc4,N,NA,435768.8369453919
B02_17,8,28,999,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate17_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,17,2019-05-27T16:59:17Z,46.100000000000001,2,HP,P,6,4,4,no,2019-05-27T16:59:17Z,0,46.1,anc5,P,NA,277990.46494792245
C02_17,8,21,988,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate17_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,17,2019-05-27T16:59:17Z,48.799999999999997,2,HP,P,6,4,4,no,2019-05-27T16:59:17Z,0,48.8,anc4,B,NA,274929.50887742476
D02_17,8,18,707,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate17_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,17,2019-05-27T16:59:17Z,47.899999999999999,2,HP,P,6,4,4,no,2019-05-27T16:59:17Z,0,47.9,anc5,S,NA,196735.99471289405
E02_17,8,26,735,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate17_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,17,2019-05-27T16:59:17Z,53.399999999999999,2,HP,P,6,4,4,no,2019-05-27T16:59:17Z,0,53.4,anc3,L,NA,204527.51925597896
F02_17,8,28,926,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate17_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,17,2019-05-27T16:59:17Z,43.899999999999999,2,HP,P,6,4,4,no,2019-05-27T16:59:17Z,0,43.9,anc5,P,NA,257676.84738916534
G02_17,8,27,334,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate17_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,G02,17,2019-05-27T16:59:17Z,47.5,2,HP,P,6,4,4,no,2019-05-27T16:59:17Z,0,47.5,anc3,N,NA,92941.75704965575
B02_18,8,15,931,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate18_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,18,2019-05-28T09:32:14Z,49.100000000000001,3,HP,P,6,6,4,no,2019-05-27T16:59:17Z,0.6895486111111111,49.1,anc4,S,NA,259068.19105757336
C02_18,8,10,705,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate18_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,18,2019-05-28T09:32:14Z,46.100000000000001,3,HP,P,6,6,4,no,2019-05-27T16:59:17Z,0.6895486111111111,46.1,anc2,L,NA,196179.45724553085
D02_18,8,29,894,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate18_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,18,2019-05-28T09:32:14Z,41.399999999999999,3,HP,P,6,6,4,no,2019-05-27T16:59:17Z,0.6895486111111111,41.4,anc3,P,NA,248772.247911354
E02_18,8,anc4,1147,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate18_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,18,2019-05-28T09:32:14Z,57.5,3,HP,P,6,6,4,no,2019-05-27T16:59:17Z,0.6895486111111111,57.5,anc4,none,NA,319174.23753279983
F02_18,8,15,943,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate18_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,18,2019-05-28T09:32:14Z,49.299999999999997,3,HP,P,6,6,4,no,2019-05-27T16:59:17Z,0.6895486111111111,49.3,anc4,S,NA,262407.4158617526
B02_19,10,25,849,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate19_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,19,2019-05-27T08:43:31Z,48.799999999999997,1,HP,P,7,4,8,no,2019-05-27T08:43:31Z,0,48.8,anc2,BS,NA,236250.15489568183
C02_19,10,6,696,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate19_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,19,2019-05-27T08:43:31Z,55.5,1,HP,P,7,4,8,no,2019-05-27T08:43:31Z,0,55.5,cc1690,P,NA,193675.0386423964
E02_19,10,1,508,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate19_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,19,2019-05-27T08:43:31Z,52.700000000000003,1,HP,P,7,4,8,no,2019-05-27T08:43:31Z,0,52.7,anc2,N,NA,141360.51671025486
F02_19,10,25,959,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate19_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,19,2019-05-27T08:43:31Z,44.299999999999997,1,HP,P,7,4,8,no,2019-05-27T08:43:31Z,0,44.3,anc2,BS,NA,266859.71560065827
G02_19,10,11,674,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate19_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,G02,19,2019-05-27T08:43:31Z,53,1,HP,P,7,4,8,no,2019-05-27T08:43:31Z,0,53,anc4,N,NA,187553.12650140113
B02_2,0.5,28,145,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate2_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,2,2019-05-24T09:36:16Z,81.599999999999994,2,LP,P,1,5,16,no,2019-05-24T09:36:16Z,0,81.6,anc5,P,NA,40348.96638383259
C02_2,0.5,21,180,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate2_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,2,2019-05-24T09:36:16Z,77.900000000000006,2,LP,P,1,5,16,no,2019-05-24T09:36:16Z,0,77.9,anc4,B,NA,50088.37206268872
D02_2,0.5,18,184,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate2_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,2,2019-05-24T09:36:16Z,100,2,LP,P,1,5,16,no,2019-05-24T09:36:16Z,0,100,anc5,S,NA,51201.44699741514
E02_2,0.5,26,73,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate2_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,2,2019-05-24T09:36:16Z,93.200000000000003,2,LP,P,1,5,16,no,2019-05-24T09:36:16Z,0,93.2,anc3,L,NA,20313.617558757094
F02_2,0.5,28,183,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate2_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,2,2019-05-24T09:36:16Z,75.900000000000006,2,LP,P,1,5,16,no,2019-05-24T09:36:16Z,0,75.9,anc5,P,NA,50923.178263733535
G02_2,0.5,27,137,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate2_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,G02,2,2019-05-24T09:36:16Z,73.900000000000006,2,LP,P,1,5,16,no,2019-05-24T09:36:16Z,0,73.9,anc3,N,NA,38122.81651437975
B02_20,10,28,321,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate20_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,20,2019-05-27T14:31:21Z,52.399999999999999,2,HP,P,7,4,2,no,2019-05-27T08:43:31Z,0.24155092592592592,52.4,anc5,P,NA,89324.2635117949
C02_20,10,21,1177,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate20_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,20,2019-05-27T14:31:21Z,50,2,HP,P,7,4,2,no,2019-05-27T08:43:31Z,0.24155092592592592,50,anc4,B,NA,327522.29954324797
D02_20,10,18,619,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate20_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,20,2019-05-27T14:31:21Z,52,2,HP,P,7,4,2,no,2019-05-27T08:43:31Z,0.24155092592592592,52,anc5,S,NA,172248.34614891288
E02_20,10,26,838,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate20_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,20,2019-05-27T14:31:21Z,48.799999999999997,2,HP,P,7,4,2,no,2019-05-27T08:43:31Z,0.24155092592592592,48.8,anc3,L,NA,233189.19882518417
F02_20,10,28,866,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate20_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,20,2019-05-27T14:31:21Z,52.799999999999997,2,HP,P,7,4,2,no,2019-05-27T08:43:31Z,0.24155092592592592,52.8,anc5,P,NA,240980.7233682691
G02_20,10,27,180,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate20_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,G02,20,2019-05-27T14:31:21Z,48.299999999999997,2,HP,P,7,4,2,no,2019-05-27T08:43:31Z,0.24155092592592592,48.3,anc3,N,NA,50088.37206268872
B02_21,10,15,930,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate21_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,21,2019-05-28T10:18:43Z,46.700000000000003,3,HP,P,7,4,17,no,2019-05-27T08:43:31Z,1.066111111111111,46.7,anc4,S,NA,258789.92232389175
C02_21,10,10,558,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate21_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,21,2019-05-28T10:18:43Z,47.799999999999997,3,HP,P,7,4,17,no,2019-05-27T08:43:31Z,1.066111111111111,47.8,anc2,L,NA,155273.95339433505
D02_21,10,29,1274,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate21_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,21,2019-05-28T10:18:43Z,52.899999999999999,3,HP,P,7,4,17,no,2019-05-27T08:43:31Z,1.066111111111111,52.9,anc3,P,NA,354514.36671036354
E02_21,10,anc4,1064,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate21_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02,21,2019-05-28T10:18:43Z,53.700000000000003,3,HP,P,7,4,17,no,2019-05-27T08:43:31Z,1.066111111111111,53.7,anc4,none,NA,296077.9326372267
F02_21,10,15,1605,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate21_test_190528_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02,21,2019-05-28T10:18:43Z,50.700000000000003,3,HP,P,7,4,17,no,2019-05-27T08:43:31Z,1.066111111111111,50.7,anc4,S,NA,446621.3175589745
B02_22,20,25,967,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate22_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02,22,2019-05-24T10:23:43Z,47.5,1,HP,P,8,6,17,no,2019-05-24T10:23:43Z,0,47.5,anc2,BS,NA,269085.8654701111
C02_22,20,6,1224,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate22_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02,22,2019-05-24T10:23:43Z,41.200000000000003,1,HP,P,8,6,17,no,2019-05-24T10:23:43Z,0,41.2,cc1690,P,NA,340600.9300262833
D02_22,20,24,637,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate22_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02,22,2019-05-24T10:23:43Z,48.399999999999999,1,HP,P,8,6,17,no,2019-05-24T10:23:43Z,0,48.4,anc4,C,NA,177257.18335518177
