nitrate_concentration,population,well_plate,term,estimate,std.error,statistic,p.value,ancestor_id,treatment,note
40,19,F03_10,r,0.39372125242871236,0.09682387072370922,4.066365551034535,0.015268512133106841,anc2,B,NA
40,2,B10_11,r,0.7446473391876302,0.07317379631490721,10.17642075016857,5.251918331617456e-4,anc3,BS,NA
40,2,C08_11,r,0.6253440715613294,0.07958318280678933,7.85774141604174,0.0014173111552330533,anc3,BS,NA
40,2,E04_11,r,1.1733283978600682,0.022486565684201175,52.17908391784506,8.074261098715048e-7,anc3,BS,NA
40,2,F09_11,r,1.3175765001476396,0.021324912554108066,61.785786778938956,4.109972110649634e-7,anc3,BS,NA
40,20,B06_12,r,0.8440309774816995,0.03807931047245628,22.16508038117466,2.4524696039418648e-5,anc4,L,NA
40,20,D03_12,r,0.592473732302949,0.05182937658005567,11.431234010461498,3.341493533981824e-4,anc4,L,NA
40,20,D08_12,r,0.49606690384163227,0.09846626589683538,5.037937605569091,0.0072926382799518435,anc4,L,NA
40,20,E09_12,r,0.7938607812767565,0.05462879546990056,14.531910770651331,1.3039860824273325e-4,anc4,L,NA
40,21,C02_11,r,1.1220976314914033,0.03173744315319859,35.35564053080675,3.819475758411477e-6,anc4,B,NA
40,21,C09_11,r,1.1114899571730092,0.027999227767575737,39.69716473609892,2.4059037467708304e-6,anc4,B,NA
40,21,E09_11,r,1.0218329748952335,0.03258538987871241,31.358623564077195,6.162894410654671e-6,anc4,B,NA
40,21,F04_11,r,1.0276958035501058,0.037353498980437626,27.512705144123704,1.0380129476573467e-5,anc4,B,NA
40,22,B05_11,r,1.187153037826574,0.04116689686665022,28.83756435837408,8.606832800171508e-6,cc1690,C,NA
40,22,D03_11,r,1.139960444284295,0.03131577209944271,36.402118417019054,3.3998740679228465e-6,cc1690,C,NA
40,22,E10_11,r,1.1257570151291534,0.039563929835320026,28.45412525537726,9.07826155813877e-6,cc1690,C,NA
40,22,F06_11,r,1.3052449878933288,0.02545167446639227,51.28326584629404,8.652636716833277e-7,cc1690,C,NA
40,23,B06_10,r,1.2295242197825218,0.04729656425915332,25.996057832986704,1.3009155188228011e-5,anc5,L,NA
40,23,C10_10,r,1.061783357493971,0.06982752897595912,15.205798816961314,1.0906738636685438e-4,anc5,L,NA
40,23,E05_10,r,1.290153323443175,0.04893196555885128,26.366268117545502,1.229711455124025e-5,anc5,L,NA
40,23,F10_10,r,1.5182378776053107,0.03546666092400263,42.80746588630279,1.78030673479757e-6,anc5,L,NA
40,24,B11_10,r,0.5799122384667389,0.05359406045260373,10.820457221739865,4.1384342759032117e-4,anc4,C,NA
40,24,D02_10,r,-0.003187199263230271,0.14778007464320803,-0.02156717859918035,0.9838261833321111,anc4,C,NA
40,24,E06_10,r,0.3497225299071602,0.04294929786991234,8.142683285915938,0.001237736647505127,anc4,C,NA
40,24,E11_10,r,0.1650351679979918,0.10338763223667692,1.5962757288046812,0.1856619371963254,anc4,C,NA
40,25,B02_10,r,1.1745436308321595,0.03653734075291236,32.146390695894794,5.582462495484775e-6,anc2,BS,NA
40,25,C05_10,r,1.1993741802476872,0.04372056495869987,27.43272373951851,1.0501177583403754e-5,anc2,BS,NA
40,25,E03_10,r,1.2342023552962866,0.03711904239265207,33.249843631219434,4.8795354964884115e-6,anc2,BS,NA
40,25,F02_10,r,1.621142273567873,0.014724676222597136,110.09697252833287,4.081416553197219e-8,anc2,BS,NA
40,26,B09_11,r,1.0801110385523183,0.03929141938324231,27.489743447979965,1.0414701782429167e-5,anc3,L,NA
40,26,C06_11,r,1.0598613409122934,0.055199941210416374,19.200407059714312,4.3360710389502585e-5,anc3,L,NA
40,26,E02_11,r,0.8757950163333731,0.048741352652681036,17.968213204382618,5.639190251403193e-5,anc3,L,NA
40,26,F11_11,r,0.9828340382958971,0.053801507058114144,18.26777895337171,5.281796472375536e-5,anc3,L,NA
40,27,B07_11,r,0.3522381448386175,0.08837277409442008,3.9858219734312725,0.016321663908605462,anc3,N,NA
40,27,C07_11,r,0.3206403127464397,0.07619082816717285,4.208384663347038,0.013603810097241329,anc3,N,NA
40,27,D11_11,r,0.28480258869871655,0.04198847424184356,6.782875392383201,0.002466302815727254,anc3,N,NA
40,27,G02_11,r,0.4297055126408691,0.05915340228983008,7.264256932094437,0.0019072991638178485,anc3,N,NA
40,28,B02_11,r,1.4116090387912126,0.02384448632971598,59.20064786767947,4.875506610151722e-7,anc5,P,NA
40,28,C05_11,r,1.1791260363198786,0.05491462060289394,21.471987302735545,2.782328492975591e-5,anc5,P,NA
40,28,E03_11,r,1.4237718188707875,0.04627325316330123,30.768785886875232,6.647490737067521e-6,anc5,P,NA
40,28,F02_11,r,1.3281844551134292,0.03354409857910175,39.59517504938705,2.430735385864186e-6,anc5,P,NA
40,29,B10_12,r,1.8137515206117036,0.005572904528429858,325.45892565698057,5.347356897052164e-10,anc3,P,NA
40,29,D02_12,r,1.4143553437584842,0.033378466976915176,42.37328648846168,1.8542651596083078e-6,anc3,P,NA
40,29,E06_12,r,1.1963525604218028,0.03751340585331004,31.891334129989193,5.762608443873566e-6,anc3,P,NA
40,29,F04_12,r,1.271173934576736,0.04442835358820124,28.61177225604686,8.880628921658394e-6,anc3,P,NA
40,3,B03_12,r,1.5457123234326628,0.09952395295275045,15.531058379147163,1.0033174447539383e-4,cc1690,N,NA
40,3,C10_12,r,1.1430084756902767,0.043604653163579976,26.21299317305325,1.2585858323020027e-5,cc1690,N,NA
40,3,D09_12,r,1.3221390835357774,0.04326852080492019,30.55660463866454,6.8333922805079415e-06,cc1690,N,NA
40,3,F09_12,r,1.3605689425609604,0.03988593607832894,34.111495838759886,4.406198385188761e-6,cc1690,N,NA
40,30,C03_12,r,1.0419508843857748,0.06694048847710653,15.565331357600106,9.946288831527594e-5,anc5,N,NA
40,30,C09_12,r,1.0901521547343378,0.03380027753951961,32.25275749466025,5.509417261986822e-6,anc5,N,NA
40,30,E03_12,r,1.0386818934241484,0.07887895918118022,13.168047654360635,1.921100417345973e-4,anc5,N,NA
40,30,E08_12,r,1.4359394715400156,0.02231876702612548,64.3377597812263,3.496136475214043e-7,anc5,N,NA
40,31,B04_11,r,0.8207388821400095,0.061740256824519064,13.29341542055373,1.850955850023833e-4,cc1690,B,NA
40,31,D06_11,r,1.014626015630872,0.05270890917656712,19.249611336710146,4.292298921346447e-5,cc1690,B,NA
40,31,D09_11,r,0.7471389405205177,0.04137703317009613,18.056851428886095,5.530380564489443e-5,cc1690,B,NA
40,31,F08_11,r,1.1414836095481513,0.026079760153095977,43.768945835671104,1.6292100389102955e-6,cc1690,B,NA
40,32,C04_10,r,1.1916438827384443,0.043165037848104035,27.60669148332012,1.0240104006031601e-5,cc1690,S,NA
40,32,D07_10,r,1.0404292316880392,0.07042290244757086,14.774018047078197,1.221819916700576e-4,cc1690,S,NA
40,32,D08_10,r,1.0967616454066669,0.03853969476493888,28.45797435854202,9.07337112182416e-6,cc1690,S,NA
40,32,F07_10,r,0.9658359890013181,0.05142904061085992,18.77997290109606,4.733762300594667e-5,cc1690,S,NA
40,33,C03_10,r,0.8664696100924734,0.06434644290056402,13.465695554165256,1.7596853721691953e-4,cc1690,L,NA
40,33,D05_10,r,1.1314783217325222,0.04828683212613221,23.432440520780833,1.9661944843173854e-5,cc1690,L,NA
40,33,E08_10,r,0.5683308435730782,0.08282360780014275,6.861942611151245,0.0023618145637996136,cc1690,L,NA
40,33,G03_10,r,1.2974684423870908,0.015027113960002033,86.34182490667125,1.0786438742736475e-7,cc1690,L,NA
40,35,C04_11,r,1.2141182594600188,0.03247142403427257,37.39036077316951,3.055234097006795e-6,anc4,BS,NA
