file_name,path,well_plate,well,plate,date_time,cell_size,plate_key,population,acclimation_level,percentage,expt_light_level,multitron,slot,read_at_19_12_18_0900,read_at_19_12_18_1500,start_time,days,light_level,light,cell_count,cells_per_ml
imaging/light-gen5-outputs/Rstar_BF_light_plate24_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,C09_24,C09,24,2019-06-12T12:52:37Z,49.5,3,30,HL,0.5,L8,4,16,1,1,2019-06-12T10:20:16Z,0.10579861111111111,8,125,328,91272.14464756612
imaging/light-gen5-outputs/Rstar_BF_light_plate24_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,D09_24,D09,24,2019-06-12T12:52:37Z,45.2,3,3,HL,0.5,L8,4,16,1,1,2019-06-12T10:20:16Z,0.10579861111111111,8,125,401,111585.76220632321
imaging/light-gen5-outputs/Rstar_BF_light_plate24_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,E09_24,E09,24,2019-06-12T12:52:37Z,46.8,3,20,HL,0.5,L8,4,16,1,1,2019-06-12T10:20:16Z,0.10579861111111111,8,125,511,142195.32291129965
imaging/light-gen5-outputs/Rstar_BF_light_plate24_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,F09_24,F09,24,2019-06-12T12:52:37Z,51,3,3,HL,0.5,L8,4,16,1,1,2019-06-12T10:20:16Z,0.10579861111111111,8,125,447,124386.123955677
imaging/light-gen5-outputs/Rstar_BF_light_plate25_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,B09_25,B09,25,2019-06-12T11:32:15Z,50.2,1,1,HL,0.7,L9,6,3,1,NA,2019-06-12T11:07:26Z,0.017233796296296296,9,175,719,200075.2195170733
imaging/light-gen5-outputs/Rstar_BF_light_plate25_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,C09_25,C09,25,2019-06-12T11:32:15Z,46.5,1,6,HL,0.7,L9,6,3,1,NA,2019-06-12T11:07:26Z,0.017233796296296296,9,175,930,258789.92232389175
imaging/light-gen5-outputs/Rstar_BF_light_plate25_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,D09_25,D09,25,2019-06-12T11:32:15Z,56.1,1,14,HL,0.7,L9,6,3,1,NA,2019-06-12T11:07:26Z,0.017233796296296296,9,175,1323,368149.5346607621
imaging/light-gen5-outputs/Rstar_BF_light_plate25_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,E09_25,E09,25,2019-06-12T11:32:15Z,42.8,1,6,HL,0.7,L9,6,3,1,NA,2019-06-12T11:07:26Z,0.017233796296296296,9,175,1077,299695.4261750875
imaging/light-gen5-outputs/Rstar_BF_light_plate26_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,B09_26,B09,26,2019-06-12T14:43:27Z,45,2,26,HL,0.7,L9,6,10,1,NA,2019-06-12T11:07:26Z,0.15001157407407406,9,175,473,131621.1110313987
imaging/light-gen5-outputs/Rstar_BF_light_plate26_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,C09_26,C09,26,2019-06-12T14:43:27Z,43.8,2,21,HL,0.7,L9,6,10,1,NA,2019-06-12T11:07:26Z,0.15001157407407406,9,175,1074,298860.61997404275
imaging/light-gen5-outputs/Rstar_BF_light_plate26_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,D09_26,D09,26,2019-06-12T14:43:27Z,48.1,2,31,HL,0.7,L9,6,10,1,NA,2019-06-12T11:07:26Z,0.15001157407407406,9,175,360,100176.74412537745
imaging/light-gen5-outputs/Rstar_BF_light_plate26_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,E09_26,E09,26,2019-06-12T14:43:27Z,43.1,2,21,HL,0.7,L9,6,10,1,NA,2019-06-12T11:07:26Z,0.15001157407407406,9,175,933,259624.72852493657
imaging/light-gen5-outputs/Rstar_BF_light_plate26_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,F09_26,F09,26,2019-06-12T14:43:27Z,44.9,2,2,HL,0.7,L9,6,10,1,NA,2019-06-12T11:07:26Z,0.15001157407407406,9,175,433,120490.36168413455
imaging/light-gen5-outputs/Rstar_BF_light_plate27_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,B09_27,B09,27,2019-06-12T11:07:26Z,47.3,3,5,HL,0.7,L9,4,10,1,1,2019-06-12T11:07:26Z,0,9,175,528,146925.89138388692
imaging/light-gen5-outputs/Rstar_BF_light_plate27_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,C09_27,C09,27,2019-06-12T11:07:26Z,50.8,3,30,HL,0.7,L9,4,10,1,1,2019-06-12T11:07:26Z,0,9,175,340,94611.36945174537
imaging/light-gen5-outputs/Rstar_BF_light_plate27_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,D09_27,D09,27,2019-06-12T11:07:26Z,45.4,3,3,HL,0.7,L9,4,10,1,1,2019-06-12T11:07:26Z,0,9,175,559,155552.22212801664
imaging/light-gen5-outputs/Rstar_BF_light_plate27_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,E09_27,E09,27,2019-06-12T11:07:26Z,50.4,3,20,HL,0.7,L9,4,10,1,1,2019-06-12T11:07:26Z,0,9,175,569,158334.9094648327
imaging/light-gen5-outputs/Rstar_BF_light_plate27_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,F09_27,F09,27,2019-06-12T11:07:26Z,50.4,3,3,HL,0.7,L9,4,10,1,1,2019-06-12T11:07:26Z,0,9,175,573,159447.98439955912
imaging/light-gen5-outputs/Rstar_BF_light_plate28_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,B09_28,B09,28,2019-06-13T14:15:01Z,44.9,1,1,HL,1,L10,5,3,1,NA,2019-06-13T09:17:37Z,0.20652777777777778,10,250,571,158891.4469321959
imaging/light-gen5-outputs/Rstar_BF_light_plate28_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,C09_28,C09,28,2019-06-13T14:15:01Z,40.5,1,6,HL,1,L10,5,3,1,NA,2019-06-13T09:17:37Z,0.20652777777777778,10,250,971,270198.94040483754
imaging/light-gen5-outputs/Rstar_BF_light_plate28_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,D09_28,D09,28,2019-06-13T14:15:01Z,57.1,1,14,HL,1,L10,5,3,1,NA,2019-06-13T09:17:37Z,0.20652777777777778,10,250,833,231797.85515677615
imaging/light-gen5-outputs/Rstar_BF_light_plate28_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,E09_28,E09,28,2019-06-13T14:15:01Z,36.6,1,6,HL,1,L10,5,3,1,NA,2019-06-13T09:17:37Z,0.20652777777777778,10,250,1020,283834.1083552361
imaging/light-gen5-outputs/Rstar_BF_light_plate29_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,B09_29,B09,29,2019-06-13T11:23:37Z,51.6,2,26,HL,1,L10,4,4,1,1,2019-06-13T09:17:37Z,0.0875,10,250,611,170022.19627946007
imaging/light-gen5-outputs/Rstar_BF_light_plate29_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,C09_29,C09,29,2019-06-13T11:23:37Z,45.3,2,21,HL,1,L10,4,4,1,1,2019-06-13T09:17:37Z,0.0875,10,250,780,217049.61227165116
imaging/light-gen5-outputs/Rstar_BF_light_plate29_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,D09_29,D09,29,2019-06-13T11:23:37Z,51.4,2,31,HL,1,L10,4,4,1,1,2019-06-13T09:17:37Z,0.0875,10,250,370,102959.43146219349
imaging/light-gen5-outputs/Rstar_BF_light_plate29_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,E09_29,E09,29,2019-06-13T11:23:37Z,45.5,2,21,HL,1,L10,4,4,1,1,2019-06-13T09:17:37Z,0.0875,10,250,926,257676.84738916534
imaging/light-gen5-outputs/Rstar_BF_light_plate29_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,F09_29,F09,29,2019-06-13T11:23:37Z,49.7,2,2,HL,1,L10,4,4,1,1,2019-06-13T09:17:37Z,0.0875,10,250,549,152769.53479120063
imaging/light-gen5-outputs/Rstar_BF_light_plate3_test_190612_,imaging/light-gen5-outputs/Rstar_BF_light_,E09_3,E09,3,2019-06-12T15:42:18Z,36.1,3,20,LL,0.001,L1,5,17,1,NA,2019-06-12T13:49:59Z,0.07799768518518518,1,0.25,39,10852.480613582557
imaging/light-gen5-outputs/Rstar_BF_light_plate30_test_190613_,imaging/light-gen5-outputs/Rstar_BF_light_,B09_30,B09,30,2019-06-13T09:17:37Z,44,3,5,HL,1,L10,6,4,1,NA,2019-06-13T09:17:37Z,0,10,250,828,230406.51148836815
