ancestor_id,treatment,population,term,estimate,std.error,statistic,p.value
anc5,S,18,umax,1.650038153702893,0.01560089088374078,105.76563646263047,1.8509146523163116e-206
anc5,S,18,ks,11.542452525889644,0.9771925947471513,11.811850179724557,8.796770592093023e-26
cc1690,B,31,umax,1.6707222395691619,0.020636847155919544,80.9582116369906,8.696454449857571e-178
cc1690,B,31,ks,9.330792837266658,1.2567798616123893,7.424365334192808,1.906177116326771e-12
cc1690,BS,9,umax,1.5835983004440513,0.013116833745221974,120.73022584592134,1.6598691914463578e-215
cc1690,BS,9,ks,8.012209931469723,0.8629524455880948,9.284648270519089,1.049880757028437e-17
cc1690,C,22,umax,1.6591491415137134,0.01731200506335831,95.83806933059316,4.719090566563947e-195
cc1690,C,22,ks,11.160755232265213,1.1480489506243006,9.72149769937604,4.419535598597709e-19
cc1690,L,33,umax,1.5786363393471712,0.01836107784560661,85.97732402321377,1.552034187555809e-185
cc1690,L,33,ks,11.449796952214468,1.3466337248584186,8.502532456194254,1.8172063262390718e-15
cc1690,N,3,umax,1.7050710306893317,0.015344677686153057,111.11807400346879,3.093067991119862e-197
cc1690,N,3,ks,10.9647386481049,1.191874433709028,9.199575339478857,2.648818211828727e-17
cc1690,none,cc1690,umax,1.6857849826539706,0.0136480781885929,123.51812169884506,3.100040155514805e-234
cc1690,none,cc1690,ks,14.903457499466008,1.0780156523717466,13.824898986092503,5.13037512302133e-33
cc1690,P,6,umax,1.4681654213020892,0.017013140964977913,86.29596523795071,1.2059177482879817e-176
cc1690,P,6,ks,10.877782803090534,1.3130852417883585,8.284140630714516,9.994405023434862e-15
cc1690,S,32,umax,1.471169340114259,0.014617850440385091,100.64197510530164,1.749879080117561e-199
cc1690,S,32,ks,7.741574343539499,0.9142957555276291,8.46725394571249,2.4469333233357294e-15
