population,treatment,ancestor_id,term,estimate,std.error,statistic,p.value,conf.low,conf.high
26,L,anc3,ps,1.9113505397236432,0.09174649321441179,20.832954729471915,4.924545143742297e-22,1.7254544866632509,2.097246592784036
27,N,anc3,alpha,0.05636947984760058,0.006946952354321524,8.114274716816583,9.82429802263999e-10,0.042293617346251984,0.07044534234894917
27,N,anc3,eopt,110.41260837248043,7.453873761510045,14.812782172757439,3.917892154209724e-17,95.30962553653835,125.51559120842252
27,N,anc3,ps,1.8177593308031026,0.04855371989009881,37.438106388503186,5.129139094211537e-31,1.7193801495097578,1.9161385120964474
28,P,anc5,alpha,0.06213262494223414,0.008439712684089388,7.361936035970401,9.388358246808905e-9,0.04503214271160105,0.07923310717286723
28,P,anc5,eopt,111.45491540585853,9.541171345707998,11.681470897804957,5.6328185908084865e-14,92.12266593671569,130.78716487500137
28,P,anc5,ps,1.665140603677258,0.04670437636920647,35.65277460326251,2.9823703017173246e-30,1.570508548287497,1.759772659067019
29,P,anc3,alpha,0.05247473384921034,0.006420040952414252,8.17358241764443,8.244001912178471e-10,0.03946649525909036,0.06548297243933032
29,P,anc3,eopt,117.597718065006,8.272936705655997,14.21474891553412,1.441405534946116e-16,100.83515606488896,134.36028006512305
29,P,anc3,ps,1.8241835061214287,0.047542414926695885,38.36960131146216,2.1124756578105637e-31,1.727853423322755,1.9205135889201024
3,N,cc1690,alpha,0.09778292093527319,0.011533058044950398,8.478490314898414,3.3677876553478026e-10,0.07441472564891746,0.12115111622162891
3,N,cc1690,eopt,97.26414745808532,7.79239024692753,12.481939992216855,7.868072334569641e-15,81.47526507077922,113.05302984539142
3,N,cc1690,ps,1.7159007928743681,0.04067806809734176,42.18245539016882,6.849220495833152e-33,1.6334791978849494,1.7983223878637868
30,N,anc5,alpha,0.06388522637854717,0.004422409471029805,14.445796301098916,8.674662380551294e-17,0.05492457363991803,0.07284587911717631
30,N,anc5,eopt,117.54783770536366,5.304700190648651,22.15918590697773,5.921070870596654e-23,106.7994941604423,128.29618125028503
30,N,anc5,ps,1.8535694959031734,0.026210056593235352,70.71978228317019,4.3243473841812543e-41,1.8004628767783937,1.9066761150279532
31,B,cc1690,alpha,0.05315442625206175,0.007254339111191413,7.327259649339988,1.0431761731571349e-8,0.038455739020708424,0.06785311348341508
31,B,cc1690,eopt,105.78834622872684,7.1582346734359605,14.778552402215157,4.2168654135231994e-17,91.28438508481726,120.29230737263642
31,B,cc1690,ps,1.8231252432177976,0.05599778539892996,32.557095432074625,7.764927868893867e-29,1.7096629524961642,1.936587533939431
32,S,cc1690,alpha,0.07916588435204583,0.009610345347335318,8.23756914979089,6.825902778242817e-10,0.05969347504216814,0.09863829366192352
32,S,cc1690,eopt,121.72270701445466,13.29346483446604,9.156582465909379,4.787700901929589e-11,94.78758875931706,148.65782526959225
32,S,cc1690,ps,1.625182075892305,0.03663722812365412,44.35876181481746,1.1029616372606939e-33,1.550948000401879,1.699416151382731
33,L,cc1690,alpha,0.06610963644685364,0.019184978135993326,3.445906269907288,0.00143261094452475,0.02723717834432572,0.10498209454938155
33,L,cc1690,eopt,400,950.2932631013634,0.42092269358467904,0.6762465615924356,-1525.4770473633205,2325.4770473633207
33,L,cc1690,ps,2.030067610624818,0.4017143871904018,5.053509845199098,1.195483166243314e-5,1.2161169470092688,2.8440182742403675
35,BS,anc4,alpha,0.12332989775434607,0.014545902867341226,8.478669139971297,3.3660306441753323e-10,0.09385709899658577,0.15280269651210637
35,BS,anc4,eopt,104.41695326238111,11.78087309601878,8.863261017357678,1.1055562562606277e-10,80.54663698732546,128.28726953743677
35,BS,anc4,ps,1.609423006821525,0.03455329678037135,46.577986958853316,1.8688067763434469e-34,1.5394113773123286,1.6794346363307213
4,S,anc3,alpha,0.06406935182952567,0.011470150124089888,5.585746580157278,2.2856197500900697e-6,0.040828620098282344,0.087310083560769
4,S,anc3,eopt,146.11919260037305,27.671844852946496,5.280428297313697,5.913963053432382e-6,90.05070912122204,202.18767607952407
4,S,anc3,ps,1.7039657633096752,0.05465723021333097,31.175486878112526,3.656364929019315e-28,1.593219695401377,1.8147118312179733
5,C,anc5,alpha,0.04548900192593561,0.006030025471001541,7.543749548769357,5.41271208332715e-9,0.03327100976471874,0.05770699408715248
5,C,anc5,eopt,132.52514276489535,10.796180625738769,12.275187620420793,1.2983158907651161e-14,110.65000295152257,154.40028257826813
5,C,anc5,ps,1.9265839956655066,0.05310170424911263,36.28102003332033,1.5903029762088572e-30,1.8189897227419538,2.0341782685890593
6,P,cc1690,alpha,0.07895328502812408,0.009040383440451097,8.733400031999581,1.606854045683147e-10,0.06063572823818891,0.09727084181805926
6,P,cc1690,eopt,141.56034814998154,20.27897837000735,6.980644959873795,3.0082035268396536e-8,100.47123501874232,182.64946128122074
6,P,cc1690,ps,1.5626061187989906,0.03083026864201505,50.68415513802865,8.598335616045057e-36,1.500138060843377,1.6250741767546042
7,B,anc3,alpha,0.044112406116653055,0.005545331676794061,7.954872438244468,1.5770699836521806e-9,0.03287649686813636,0.05534831536516975
7,B,anc3,eopt,110.91599494541242,6.370047281466709,17.412114862650427,2.0589145526571483e-19,98.0090531545655,123.82293673625934
7,B,anc3,ps,1.9267638256954533,0.056329018572150655,34.20552806592045,1.3223329966331276e-29,1.812630392814735,2.0408972585761718
8,P,anc4,alpha,0.1332316128948349,0.039825120167331154,3.3454164691793147,0.0018938150662982803,0.052538254572559936,0.21392497121710985
8,P,anc4,eopt,91.26367292358077,21.174660584827297,4.310041833160517,1.1591538401779179e-4,48.35973523940416,134.16761060775738
8,P,anc4,ps,1.6741062993699845,0.09622503077966166,17.39782555334685,2.115589533142707e-19,1.4791358672494899,1.869076731490479
9,BS,cc1690,alpha,0.06822346862317764,0.007774057138251562,8.77578687806269,1.421906787961592e-10,0.05247173264249469,0.0839752046038606
9,BS,cc1690,eopt,102.2675502616602,6.821351881432789,14.992270159823429,2.669632654710627e-17,88.44617849183166,116.08892203148875
9,BS,cc1690,ps,1.6696316045089372,0.04023969365108085,41.49215495988475,1.245746196556393e-32,1.588098240518517,1.7511649684993575
anc2,none,anc2,alpha,0.056734994251549584,0.007922138108682674,7.161576013092722,1.728516592004283e-8,0.040683217724661075,0.07278677077843809
anc2,none,anc2,eopt,111.05664461236127,8.8153717393848,12.59806709184922,5.952325083657668e-15,93.19500483521998,128.91828438950256
anc2,none,anc2,ps,1.7532437874759632,0.05236240280823638,33.48287499137044,2.844452578811915e-29,1.6471474815598204,1.859340093392106
anc3,none,anc3,alpha,0.04848348327454152,0.007174262943402312,6.75797411623009,5.969262753554143e-8,0.03394704577083073,0.06301992077825232
anc3,none,anc3,eopt,132.64660047558152,12.544969413072515,10.57368863230203,9.81276881436536e-13,107.22807800188329,158.06512294927975
anc3,none,anc3,ps,1.9490397645039,0.05921669415880854,32.91368746922827,5.257597863627307e-29,1.8290553451138223,2.0690241838939776
anc4,none,anc4,alpha,0.05401104107966855,0.00808276459978511,6.682248432807817,7.541619235806159e-8,0.037633804367145474,0.07038827779219163
anc4,none,anc4,eopt,111.4703501000258,8.622090709618922,12.928459448433772,2.7149224414836804e-15,94.00033488864264,128.94036531140895
anc4,none,anc4,ps,1.948158578764296,0.06456102179078928,30.175460745917654,1.1684865685070872e-27,1.817345523006341,2.0789716345222513
anc5,none,anc5,alpha,0.0877874079390067,0.016617025641822256,5.282979627717525,5.867252450018728e-6,0.05411811582558501,0.1214567000524284
anc5,none,anc5,eopt,108.18587282207804,15.272428127036816,7.083737564333751,2.1930941796021418e-8,77.24099405892227,139.1307515852338
anc5,none,anc5,ps,1.734008634244096,0.06424260916514067,26.991566139331148,6.072614845427961e-26,1.603840743748363,1.8641765247398288
cc1690,none,cc1690,alpha,0.07437264925398386,0.015829614504436876,4.698323464108237,3.568312315131888e-5,0.0422988036524376,0.10644649485553012
cc1690,none,cc1690,eopt,250.03600815519187,176.02320206992576,1.4204718765192346,0.16384292583490548,-106.62087719714154,606.6928935075252
cc1690,none,cc1690,ps,2.0007404273193803,0.11654974758085444,17.166407211061525,3.2922459582476777e-19,1.7645882072031078,2.2368926474356527
